n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
607;2309033;192130;701;180
608;2339770;191879;721;60
609;2337326;236934;1152;211
610;2751091;193913;782;60
611;2401165;192971;742;160
612;2362893;194885;722;60
613;3402490;233036;1182;200
614;3471108;274053;1302;70
615;4296764;301625;1383;221
616;2646915;204222;781;50
617;2428475;208260;761;180
618;2550304;198662;771;60
619;2615807;202088;872;171
620;2562187;198792;752;80
621;2513566;199063;761;160
622;2612350;202469;781;50
623;2568979;199404;741;170
624;2545035;198191;731;40
625;2483339;198141;731;141
626;2655963;201297;792;50
627;2784653;202389;781;170
628;2688393;201959;801;61
629;2668776;201748;782;161
630;3524619;289943;1323;81
631;3271946;209883;782;170
632;2689556;215314;1513;60
633;2674888;202269;762;150
634;2669097;205003;761;51
635;2715323;206647;792;150
636;2621908;203341;761;40
637;2643600;217387;782;180
638;2708671;205335;761;50
639;2732565;213290;772;150
640;3090115;208841;802;50
641;2682693;204343;751;170
642;2749999;204143;781;60
643;2661984;205435;772;160
644;2700285;203050;761;61
645;2704633;204192;762;151
646;2692059;214662;821;70
647;2991391;228148;832;190
648;2694143;206537;762;60
649;2713610;207789;771;160
650;2739248;207198;781;60
651;2731825;205996;782;180
652;2726455;220773;762;40
653;2823586;208610;791;170
654;2781617;209493;821;60
655;2783601;210103;802;180
656;2760698;208280;762;60
657;2737726;208230;762;120
658;2808118;211917;801;60
659;2798499;211466;782;170
660;2834607;213620;832;50
661;2876886;213469;802;180
662;2874752;211466;782;50
663;2859383;212868;771;160
664;2847000;211666;822;50
665;2854705;211717;781;171
666;2806735;211096;772;50
667;2875954;212258;802;171
668;2916670;213610;822;50
669;2882346;237054;822;180
670;2800382;225522;801;60
671;2858923;212678;781;120
672;2864904;211637;791;60
673;2910868;214571;782;130
674;2942268;217778;831;50
675;3013402;216164;852;150
676;3007300;215293;782;50
677;3045261;219270;901;170
678;2980340;216455;781;50
679;3030613;219601;822;180
680;2917563;215904;792;50
681;2961595;217297;811;150
682;2920087;219952;831;60
683;3016688;219250;842;191
684;3142373;220142;822;60
685;3052324;219331;822;160
686;3092930;220653;851;70
687;3061291;218970;812;170
688;3052955;223228;811;40
689;3225349;225462;841;170
690;3071901;232906;842;60
691;2975701;239158;1373;181
692;3125792;239939;831;60
693;3115462;222797;812;180
694;3223885;225322;862;50
695;3075919;224289;831;190
696;3359399;226805;872;80
697;3210921;222767;831;180
698;3153964;222736;811;50
699;3165887;224951;862;171
700;3199109;224481;831;50
701;3143335;223158;822;150
702;3144477;227245;901;50
703;3311309;227606;852;191
704;3188790;228658;801;71
705;3250806;227526;851;170
706;3268819;226214;921;60
707;3224587;232295;842;161
708;3350723;286596;882;80
709;3235758;228628;852;170
710;3240517;226353;831;50
711;3357215;230151;881;181
712;3225910;230060;861;70
713;3237121;228879;841;171
714;3357996;232696;861;61
715;3373937;231674;911;160
716;3307261;228488;842;60
717;3430933;231474;892;171
718;3312181;230682;852;50
719;3362866;230752;851;170
720;3377313;233978;1412;50
721;3455509;234649;871;170
722;3310077;232626;841;51
723;3379246;233177;862;150
724;3441162;230401;851;40
725;3474044;231803;841;150
726;3416777;249508;881;60
727;3324584;232856;842;170
728;3365831;232334;882;50
729;3419863;232015;841;170
730;3515512;234920;852;50
731;3505183;238637;862;181
732;3459316;236863;882;50
733;3534908;250990;851;170
734;3481979;235400;881;51
735;3480466;236022;841;160
736;3514870;235160;882;50
737;3550006;236492;852;161
738;3490665;238386;851;50
739;3512225;238186;872;130
740;3468764;239157;862;50
741;3545298;237956;862;151
742;3620348;237825;851;50
743;3540859;240260;882;150
744;3625908;240200;881;50
745;3624576;239037;992;150
746;3533856;239238;861;50
747;3581885;239799;871;170
748;3607353;239809;872;40
749;3599498;238567;892;131
750;3662387;258043;912;80
751;4001672;242584;932;211
752;3676263;244107;892;50
753;3628693;242514;882;170
754;3684749;241202;872;60
755;3725574;243726;872;160
756;3648400;241642;872;50
757;3650595;240971;881;130
758;3777973;246381;902;80
759;3654211;243856;891;150
760;3733269;246963;931;60
761;3691481;242995;902;170
762;3712641;245429;872;50
763;3800725;245119;902;140
764;3819611;255097;912;60
765;3767684;244207;1563;191
766;4223207;246832;942;71
767;3790797;245700;891;170
768;3807949;246792;902;50
769;3758987;243285;881;140
770;3841923;245830;892;60
771;4110373;272751;952;191
772;3885444;248014;931;60
773;3816826;248655;902;151
774;3805544;249878;922;60
775;3875706;250078;922;171
776;3924507;250639;901;50
777;4003745;249146;922;131
778;3798492;250589;921;60
779;3869405;252082;922;150
780;3899901;250739;922;50
781;4006231;252553;902;160
782;3996903;255047;952;70
783;3975443;253695;912;161
784;4003706;255929;1052;70
785;3846190;252523;922;160
786;3965123;254506;951;60
787;3966435;254046;912;170
788;4036356;253284;902;50
789;4057487;253074;922;181
790;3954544;253335;912;50
791;4015889;253184;922;141
792;3965033;253625;902;61
793;4022090;253925;911;130
794;4032920;259406;932;50
795;4063357;261920;921;170
796;4222185;257752;1122;60
797;4141744;278070;942;140
798;4116025;257583;922;60
799;4087873;258173;912;160
800;4093874;256160;932;50
801;4122107;256821;942;170
802;4193300;260487;931;50
803;4029805;257743;911;150
804;4210744;259836;942;51
805;4199912;269083;952;191
806;4159337;262892;942;70
807;4237233;261430;932;170
808;4279612;260638;952;40
